"","newstitle","newspapername"
"1","마스크 효과 없다? 코로나에도 유럽서 마스크 안 쓰는 까닭은","한국경제"
"2","""아내가 신천지 빠진지 8년..결국 이혼했다""","머니투데이"
"3","쯔위 '코로나19 대응' 한국 기부소식에 중국 네티즌 '시끌시끌'(종합)","연합뉴스"
"4","성관계 중 술취해 잠든 상대 '몰카'..2심 무죄→ 대법 ""유죄""","뉴스1"
"5","신천지, 정치지도자들에 호소문 ""공포 떨지 않도록 정책 세워달라""","뉴스1"
"6","""차라리 신천지라고 할 걸"" 14번째 사망자 가족의 눈물","KBS"
"7","우체국 내일부터 마스크 오전 11시 판매..수량도 미리 안내","뉴시스"
"8","코로나19 진료 나선 안철수 부부..진료복은 땀으로 흥건(종합)","뉴스1"
"9","경산 생후 45일 신생아 '최연소 확진'..일가족 3명 모두 감염","뉴스1"
"10","서울교통공사 ""이런 '지하철 민폐'는 범법행위로 처벌됩니다""","연합뉴스"
"11","이란 코로나19 '미스터리'..중국외 사망도 완치도 세계 최다","연합뉴스"
"12","대구서 21번·22번째 사망자 발생","뉴시스"
"13","자가격리 중에 또..대구서 2명 더 숨져, 사망자 20명","JTBC"
"14","'밀라노 패션위크' 다녀온 한국인 2명 확진..연예계 비상","머니투데이"
"15","""이런 중국 처음"" 코로나에 공기 '깨끗'..나사, 위성사진 공개","뉴스1"
"16","""우리도 국민이다"" 정치인들에 호소한 신천지, 억울하다는 이유","머니투데이"
"17","엘리베이터에서.. 배달받는 사이에.. 코로나 이렇게도 걸린다","머니투데이"
"18","트럼프가 여성이라던 미 첫 코로나19 사망자 실제로는 50대 남성","연합뉴스"
"19","6명 태운 1t트럭 배수로에 빠져..3명 사망·3명 부상","뉴시스"
"20","신천지의 '4대 거짓말'..정부 초기 대응 발목 잡았다","노컷뉴스"
"21","""개·고양이 버려질라""..반려견 코로나19 양성 반응에 업계 '우려'","뉴스1"
"22","신천지 ""정부가 우리에게 책임 떠넘기려 한다"" CNN인터뷰","뉴스1"
"23","마스크 무료로 주고, 800원에 팔고..직접 공급 나선 지자체들","중앙일보"
