"","upNm","pgmNm","targetNm","price"
"1","금천청소년수련관","아침B-청소년","주2회수영-청소년(구)","36000"
"2","금천청소년수련관","난초A","초4~24세미만","41000"
"3","금천청소년수련관","아침C(5회)-청소년","주5회수영-청소년(구)","56000"
"4","시립서대문청소년센터","경기민요와 장구 A","7세~초등","40000"
"5","시립서대문청소년센터","국가공인 한자지도사","성인","30000"
"6","시립서대문청소년센터","기린A","초2~5","30000"
"7","시립서대문청소년센터","상어1-3(초급)","초등학생","40000"
"8","시립서대문청소년센터","셀프리더쉽&표현력 스피치 A","초3~6","33000"
"9","시립서대문청소년센터","속성 제빵자격증반","초6~성인(3개월)","150000"
"10","시립서대문청소년센터","신나는미술세상(C)","5~6세","30000"
"11","시립서대문청소년센터","신나는미술세상(D)","초등학생","30000"
"12","시립서대문청소년센터","죠스2-1(상급)","초등학생","33000"
"13","시립서대문청소년센터","죠스2-1(상급3개월) ","초등학생","89100"
"14","시립서대문청소년센터","죠스2-2(중급)","초등학생","33000"
"15","시립수서청소년센터","[이보라]모던발레(성인)-토10시","구분없음","35000"
"16","마포청소년수련관","재미있는통기타교실(토12시40분)","초3-성인","35000"
"17","시립서대문청소년센터","실버 (3개월)","성인,청소년(14세부터)","142560"
"18","금천청소년수련관","난초A중급-청소년","주3회수영-청소년","41000"
"19","금천청소년수련관","매화C(5회)","초4~24세미만","56000"
"20","금천청소년수련관","물개유아A","만5세~초3","36000"
"21","시립서대문청소년센터","심야B-1(상급)","중,고생","35000"
"22","시립서대문청소년센터","심야B-2(중급)","중,고생","35000"
"23","금천청소년수련관","아침A중급-청소년","주3회수영-청소년","41000"
"24","금천청소년수련관","아침A초급-청소년","주3회수영-청소년","41000"
"25","금천청소년수련관","아침B 초급","강습2+자유4","63800"
"26","금천청소년수련관","심야A상급-청소년(3+3)","강습3+자유3","60000"
"27","금천청소년수련관","물개A-성인","성인여성(구)","51700"
"28","금천청소년수련관","단기속성(월,수,금)-6시","24세미만","135670"
"29","금천청소년수련관","백합A(3+3)","초4~24세미만","60000"
"30","금천청소년수련관","아침B초급-청소년","주2회수영-청소년","36000"
"31","금천청소년수련관","난초A(3+3)","초4~24세미만","60000"
"32","금천청소년수련관","아침C상급-청소년","수영주6회-청소년","60000"
"33","금천청소년수련관","아침C중급-청소년","주5회수영-청소년","56000"
"34","송파청소년센터","매트 필라테스H(월수20시/104호/23회)","성인(2개월)","80000"
"35","금천청소년수련관","매화A-청소년","주3회수영-청소년(구)","41000"
"36","송파청소년센터","인라인스케이트(월16시/초등/체육관/11회)","청소년(2개월)","72000"
"37","금천청소년수련관","새벽A초급-청소년(3+3)","강습3+자유3","60000"
"38","금천청소년수련관","매화C(5회)","수영5회(구)","69300"
"39","금천청소년수련관","매화C(6회)","주6회(구)","73700"
"40","금천청소년수련관","단기속성(월,수,금)-6시","성인(25세이상)","149240"
"41","금천청소년수련관","점핑하이(월수금)10시","초등~24세미만","50000"
"42","노원청소년센터","종일반(5세)","유아-초등","72000"
"43","노원청소년센터","종일반(6세)","유아스포츠단","175000"
"44","노원청소년센터","종일반(6세)","유아6-7세","72000"
"45","노원청소년센터","종일반(6세)","유아-초등","125000"
"46","시립목동청소년센터","초급포토샵,일러스트","성인","117000"
"47","중구청소년수련관","[11월]주말농구대관(윤종윤)11월16일","구분없음","220000"
"48","중구청소년수련관","[11월]주말농구대관(윤종윤)11월23일","구분없음","121000"
"49","중구청소년수련관","[11월]주말농구대관(윤종윤)11월2일 ","구분없음","110000"
"50","중구청소년수련관","[11월]주말농구대관(이진호)","구분없음","275000"
"51","금천청소년수련관","난초A상급-청소년","강습3+자유3","60000"
"52","금천청소년수련관","난초A중급-청소년","강습3+자유3","60000"
"53","금천청소년수련관","돌고래","초등학생","36000"
"54","중구청소년수련관","[11월]주말농구대관(장업용)","구분없음","165000"
"55","중구청소년수련관","[11월]주말농구대관(조성제)","구분없음","110000"
"56","중구청소년수련관","[11월]주말농구대관(최대욱)","구분없음","330000"
"57","중구청소년수련관","[11월]평일극장대관(김영란)","구분없음","319000"
"58","중구청소년수련관","[11월]평일극장대관(민진암)","구분없음","220000"
"59","금천청소년수련관","물개유아B","만5세~초3","26000"
"60","금천청소년수련관","매화A 상급","성인(25세이상)","51700"
"61","금천청소년수련관","매화A 상급","강습3+자유3 (구)","69300"
"62","금천청소년수련관","매화A 중급","성인(25세이상)","51700"
"63","금천청소년수련관","매화A 중급","강습3+자유3 (구)","69300"
"64","금천청소년수련관","매화A 초급","성인(25세이상)","51700"
"65","금천청소년수련관","매화A","초4~24세미만","41000"
"66","금천청소년수련관","매화A 초급","강습3+자유3 (구)","69300"
