,도라지,배,생강,무,마늘,비트,양파,현미,메밀,돼지감자,여주,인삼,양배추,토마토,민들레차,"느타리버섯, 생것",연근,고구마,브로콜리,시금치
에너지,56,46,42,27,123,37,27,374,24,35,22,15,22,19,0,18,75,154,32,33
수분,84.5,87.1,88.2,91.6,65.3,88.3,92,10.6,94.6,81.4,93.3,96.2,92.4,93.9,99.9,90.5,80,60.6,89.4,89.4
단백질,1.7,0.3,0.97,1.5,7.03,1.7,0.95,9.6,1.9,2.18,1.28,0.33,1.9,1.03,0.01,2.68,1.63,1.01,3.08,3.1
지질,0.11,0.1,0.15,0.09,0.12,0,0.04,4.6,1.2,0.09,0.36,0.01,0.1,0.18,0,0.08,0.07,0.11,0.2,0.5
"탄수
화물",13.08,12.3,9.82,5.65,26.65,8.4,6.68,73.3,1.9,14.92,4.48,3.32,4.7,4.26,0.05,6,17.28,37.19,6.32,6
"총 
당류",1.98,0,0.45,1.93,0.47,0,5.74,0,0,6.37,0.36,1.19,0,2.37,0.05,0.67,1.81,9.83,0.79,0
"총 
식이섬유",4.2,1.8,2.6,2.7,3.3,0,1.7,0,3.6,1.8,3.7,0.9,0,2.6,0,3.8,3.3,2.7,3.1,0
칼슘,40,3,18,99,8,7,15,4,11,17,15,5,12,9,2,0,28,15,39,40
철,0.32,0.4,0.95,0.93,0.82,2.2,0.2,2.8,0.9,0.53,0.15,0.13,0.6,0.19,0,0.66,0.8,0.45,0.8,2.6
마그네슘,22,0,37,27,23,0,8,0,0,14,11,7,0,10,1,14,23,22,23,0
인,67,17,33,37,124,21,27,327,49,100,27,16,40,29,0,104,75,49,68,29
칼륨,231,100,337,350,357,406,145,396,106,561,253,68,304,250,19,291,478,370,365,502
나트륨,3,0,4,59,2,84,3,26,4,2,0,2,28,2,1,1,21,7,3,54
셀레늄,1.79,0,1.07,1.76,4.31,0,1.17,0,0,3.18,0,0,0,0.26,0,1.8,0.5,2.72,0.78,0
베타카로틴,6,0,19,671,0,0,2,0,18118,0,158,0,12,380,0,0,0,32,264,2876
비타민 B1,0.007,0.04,0,0.061,0.118,0.02,0.035,0.26,0.29,0.044,0.157,0,0.07,0.013,0,0.15,0.087,0.065,0.033,0.12
비타민 B2,0.065,0.02,0.052,0.158,0.276,0.04,0.011,0.11,0.15,0.088,0.044,0.017,0.09,0.037,0.003,0.196,0.124,0.027,0.143,0.34
엽산,66,0,0,55,125,0,11,0,0,39,91,0,0,15,0,52,7,90,43,0
비타민 C,5.06,0,1.5,4.31,11.86,23,5.88,0,1,1.34,73.01,0,99,14.16,0.03,0.63,28.35,7.12,29.17,60
비타민 E,0.89,0,0.51,0.09,0.2,0,0,0,0,0.11,0,0.07,0,0.34,0.05,0.09,0.34,0.24,1.02,0
