대표식품 코드,대표 식품명,관련현대병증,처방 (현대어)
100366,고추김치,자궁 출혈,후박전
100366,고추김치,궤양성 대장염;감염성 만성장관(感染性慢性腸管) Ameba症 만성 세균성이질(細菌性痢疾),매실
100366,고추김치,감기초기,파
100366,고추김치,감기;두통,파
100366,고추김치,이질,생강
100366,고추김치,변비;소변량 감소;배뇨곤란,매실
100366,고추김치,혈뇨,강밀탕
100366,고추김치,후각 상실증,양폐산
100366,고추김치,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),생강
100366,고추김치,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),생강
100366,고추김치,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),가죽나무뿌리껍질
100366,고추김치,이질,파
100366,고추김치,이질,파
100366,고추김치,이질,생강
100366,고추김치,발열,파
100366,고추김치,발열,파
100366,고추김치,두통,파
100366,고추김치,항문출혈,후박전
100367,고추무침,감기초기,파
100367,고추무침,감기;두통,파
100367,고추무침,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),가죽나무뿌리껍질
100367,고추무침,이질,파
100367,고추무침,이질,파
100367,고추무침,발열,파
100367,고추무침,발열,파
100367,고추무침,두통,파
100367,고추무침,식욕부진,비전삼선고
100367,고추무침,감기초기,파
100367,고추무침,감기;두통,파
100367,고추무침,병원성 미생물,마늘
100367,고추무침,전신쇠약;식욕부진;영양실조;저체중,돼지간
100367,고추무침,색땀증,율초즙방
100367,고추무침,요통,돼지콩팥
100367,고추무침,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),가죽나무뿌리껍질
100367,고추무침,이질,파
100367,고추무침,이질,파
100367,고추무침,발열,파
100367,고추무침,발열,파
100367,고추무침,두통,파
100367,고추무침,식욕부진,비전삼선고
100368,고추찜,기생충,참기름
100368,고추찜,이질,달걀
100368,고추찜,이질,달걀
100368,고추찜,이질,달걀
100368,고추찜,인두염,달걀
100368,고추찜,이질,달걀
100368,고추찜,이질,달걀
100368,고추찜,이질,달걀
100368,고추찜,기생충,참기름
100368,고추찜,구역,산부추죽
100368,고추찜,인두염,달걀
100372,고추잎나물,기생충,참기름
100372,고추잎나물,감기초기,파
100372,고추잎나물,감기;두통,파
100372,고추잎나물,병원성 미생물,마늘
100372,고추잎나물,기생충,참기름
100372,고추잎나물,농양,참기름
100372,고추잎나물,농양,참기름
100372,고추잎나물,등쪽 종기증,참기름
100372,고추잎나물,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),가죽나무뿌리껍질
100372,고추잎나물,이질,파
100372,고추잎나물,이질,파
100372,고추잎나물,발열,파
100372,고추잎나물,발열,파
100372,고추잎나물,두통,파
100373,고추잎장아찌,자궁 출혈,후박전
100373,고추잎장아찌,이질,무
100373,고추잎장아찌,궤양성 대장염;감염성 만성장관(感染性慢性腸管) Ameba症 만성 세균성이질(細菌性痢疾),매실
100373,고추잎장아찌,감기초기,파
100373,고추잎장아찌,감기;두통,파
100373,고추잎장아찌,이질,생강
100373,고추잎장아찌,변비;소변량 감소;배뇨곤란,매실
100373,고추잎장아찌,병원성 미생물,마늘
100373,고추잎장아찌,혈뇨,강밀탕
100373,고추잎장아찌,후각 상실증,양폐산
100373,고추잎장아찌,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),생강
100373,고추잎장아찌,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),생강
100373,고추잎장아찌,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),가죽나무뿌리껍질
100373,고추잎장아찌,이질,파
100373,고추잎장아찌,이질,파
100373,고추잎장아찌,이질,생강
100373,고추잎장아찌,발열,파
100373,고추잎장아찌,발열,파
100373,고추잎장아찌,두통,파
100373,고추잎장아찌,항문출혈,후박전
100373,고추잎장아찌,기생충,참기름
100373,고추잎장아찌,자궁 출혈,후박전
100373,고추잎장아찌,궤양성 대장염;감염성 만성장관(感染性慢性腸管) Ameba症 만성 세균성이질(細菌性痢疾),매실
100373,고추잎장아찌,감기초기,파
100373,고추잎장아찌,이질,생강
100373,고추잎장아찌,변비;소변량 감소;배뇨곤란,매실
100373,고추잎장아찌,병원성 미생물,마늘
100373,고추잎장아찌,혈뇨,강밀탕
100373,고추잎장아찌,기생충,참기름
100373,고추잎장아찌,농양,참기름
100373,고추잎장아찌,농양,참기름
100373,고추잎장아찌,등쪽 종기증,참기름
100373,고추잎장아찌,후각 상실증,양폐산
100373,고추잎장아찌,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),생강
100373,고추잎장아찌,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),생강
100373,고추잎장아찌,이질,생강
100373,고추잎장아찌,발열,파
100373,고추잎장아찌,발열,파
100373,고추잎장아찌,두통,파
100373,고추잎장아찌,식욕부진,비전삼선고
100373,고추잎장아찌,항문출혈,후박전
100373,고추잎장아찌,자궁 출혈,후박전
100373,고추잎장아찌,궤양성 대장염;감염성 만성장관(感染性慢性腸管) Ameba症 만성 세균성이질(細菌性痢疾),매실
100373,고추잎장아찌,감기초기,파
100373,고추잎장아찌,감기;두통,파
100373,고추잎장아찌,이질,생강
100373,고추잎장아찌,변비;소변량 감소;배뇨곤란,매실
100373,고추잎장아찌,병원성 미생물,마늘
100373,고추잎장아찌,혈뇨,강밀탕
100373,고추잎장아찌,후각 상실증,양폐산
100373,고추잎장아찌,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),생강
100373,고추잎장아찌,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),생강
100373,고추잎장아찌,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),가죽나무뿌리껍질
100373,고추잎장아찌,이질,파
100373,고추잎장아찌,이질,파
100373,고추잎장아찌,이질,생강
100373,고추잎장아찌,발열,파
100373,고추잎장아찌,발열,파
100373,고추잎장아찌,두통,파
100373,고추잎장아찌,항문출혈,후박전
100373,고추잎장아찌,자궁 출혈,후박전
100373,고추잎장아찌,궤양성 대장염;감염성 만성장관(感染性慢性腸管) Ameba症 만성 세균성이질(細菌性痢疾),매실
100373,고추잎장아찌,감기초기,파
100373,고추잎장아찌,감기;두통,파
100373,고추잎장아찌,이질,생강
100373,고추잎장아찌,변비;소변량 감소;배뇨곤란,매실
100373,고추잎장아찌,병원성 미생물,마늘
100373,고추잎장아찌,혈뇨,강밀탕
100373,고추잎장아찌,후각 상실증,양폐산
100373,고추잎장아찌,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),생강
100373,고추잎장아찌,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),생강
100373,고추잎장아찌,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),가죽나무뿌리껍질
100373,고추잎장아찌,이질,파
100373,고추잎장아찌,이질,파
100373,고추잎장아찌,이질,생강
100373,고추잎장아찌,발열,파
100373,고추잎장아찌,발열,파
100373,고추잎장아찌,두통,파
100373,고추잎장아찌,항문출혈,후박전
100373,고추잎장아찌,감기초기,파
100373,고추잎장아찌,감기;두통,파
100373,고추잎장아찌,병원성 미생물,마늘
100373,고추잎장아찌,Ameba성 적리(赤痢);궤양성결장염(潰瘍性結腸炎);세균성이질(細菌性痢疾);만성흡혈충병(慢性吸血蟲病),가죽나무뿌리껍질
100373,고추잎장아찌,이질,파
100373,고추잎장아찌,이질,파
100373,고추잎장아찌,발열,파
100373,고추잎장아찌,발열,파
100373,고추잎장아찌,두통,파
100373,고추잎장아찌,자궁 출혈,후박전
100373,고추잎장아찌,이질,무
