"","title","point","review"
"1","어린 의뢰인","10","실화를 모티브로 한 영화, 배우들의 연기는 물론 스토리까지 극중 연기자에 완벽히 몰입되어 계모 욕까지 나오는 몰입도 좋은 영화입니다"
"2","컨택트","10","자신의 일생을 다 볼 수 있다면 당신의 인생을 바꾸시겠어요?모든 여정을 알면서도 그 끝을 알면서도 모든 순간을 기쁘게 받아 들인다."
"3","수상한 그녀","9","가족끼리 재밋게봄 15세까진 아닌생각든다 12세도 봐도 됌ㅋㅋ"
"4","작은 아씨들","10","너무 좋다.... 영화관에서 못 본게 한이 될 것 같지만 집에서 보는 것조차 좋았음.."
"5","라이크 크레이지","6","어장관리의 필요성과 일반적으로 세컨드가 더 섹시하고 매력있다는걸 잘 보여줌"
"6","제인 도","9","진짜 공포 영화로 수작임 기승전결 좋음"
"7","라라랜드","10","음악이 너무 아름다워요"
"8","감기","8","좀 영화가   도움은되었는데 좀  잔인했다  사람을 어떻게 태울수있지?안죽은사람까지그래도   감염은   코로나19랑비슷하다"
"9","실종","10","남자 납치당하고 강간당하고 죽이고 하는 거 찍으면 남자가 되게 불편해한다고 생각하는 거 같은데 막상 봐도 아무런 느낌도 안들어ㅋㅋㅋ 물론 남자가 남자를 강간하는 거면 눈살 찌푸러지고 역겹지 애초에 그건 게이 야동이지 않을까? (너희가 좋아하는거 ㅋㅋ)남자 아무리 죽여봐야 별 느낌 안 든다 꼴페미들아 ㅋㅋ결론은 게이 영상 보는 게 더 역겹지 너희들이 원하는 반대 입장 영화 찍어봐야 별 느낌 안 든다고 ㅋㅋ2010년도부터 꼴페미들이 불어나기 시작햇다는게지금와서보니 너무 놀랍다 ㅋㅋ영화는 영화일 뿐 너무 심취하지 말자 꼴페미 멧돼지들아 ㅋ 막상일어나도 안심하라고 너희가 납치당할일은 다음생에도 없을태니 ㅎㅎ"
"10","열한번째 엄마","10","좋은 영화네요. 인물들이 처한 현실이 너무나 리얼합니다. 보는 내내 마음이 아팠어요. 배우들의 연기도 너무 훌륭하고요."
"11","비상 계엄","9","믿고보는 덴절의 연기력. 지금의 시선에도 어색함이 없는 스토리."
"12","바이올렛 에버가든 - 영원과 자동 수기 인형 -","10","다음 극장판이 기대 됩니다"
"13","신문기자","9","일본특유의 답답한 전개가 있긴했지만, 껍데기만 민주주의인 일본 언론환경에서 이런 소재를 기획한것에 점수를 주고싶다. 더군다다 심은경이라는 배우를 캐스팅 한것도 영화를 좀더 재미있게 볼수 있는점인것 같다.앞으로 일본이 전체주의시스템에서 민주주의 언론환경이 되었으면 한다."
"14","앵그리 버드 2: 독수리 왕국의 침공","9","생각 보다 웃기고 재밌다 6점부턴 알바인듯하다  유치하지 않은 개그ㅋㅋ 밥이 춤출때 빵터졋다"
"15","명탐정 코난: 감청의 권","6","점점 이게 코난인지 드래곤볼인지... 남은건 키드뿐"
"16","너의 이름은.","10","진짜 강추입니다 무조건 보세요 그냥"
"17","살인의 추억","9","근데  봉준호감독작에는  송강호가  많이나오는것같다"
"18","락아웃: 익스트림미션","10","재밋는데 평점 보소 여주이쁘고 남주 존멋탱"
"19","월드워Z","10","2시간이 어떻게 지나갔는지 모르겠어요 이런 재밌는 영화가 만들어져서 정말 행복합니다"
"20","버즈 오브 프레이(할리 퀸의 황홀한 해방)","10","유쾌하고 재미있게 잘 보았다. 특히 할리퀸의 액션이 돋보였다. 고난이도의 브리지와 발차기가 인상적이였다. ost도 귀에 쏙쏙 들어오고 신선하고 지루할틈 없었다."
"21","영웅","10","최고의 영화 중 하나입니다!"
"22","교회오빠","10","이거 꼭 보고 싶은데.. 재개봉 날짜 미뤄졌네요 다운 받을 수 있게 판매하실 수 없나요!!!!"
"23","기생충","10","역시  봉준호감독 작이니  명작이네명작   근데   청불아님?"
"24","청년경찰","3","초반좀보고 괜찬네~ 싶다가 중반 부터 납치돼고 웃음 없어지네.. 아니 그래도 이게15세 일수가 잇나? 이 영화 만든사람 자식들 15세 되면 한번보여줘봐라 좀.. 10점준분들중 대부분은 알바들 같다...--"
"25","어린 의뢰인","10","완전 펑펑운 영화 ㅠㅠ 죽이고싶엇다ㅠ"
"26","도리화가","2","수지 알바들아 작작해라.. 노잼인건 노잼인거다"
"27","용길이네 곱창집","7","토키오가 그렇게 왕따 이지메를 당해서 맨날 맞고 결석하는데도 해결은 안해주고 무조건 학교를 가라고 하면 애가 힘들어서 버티겠냐?? 적어도 해결을 어떻게 해줄테니까 좀만 참으라든지, 뭔가 해결하려는 노력이라도 보여줘야 애가 버티지. 자살 안하고 버티냐?? 그 부분에서 답답해 죽는줄. ㅉ ㅜㅜ"
"28","트리플 엑스","9","그러게 담배 좀 끊어라니까~!"
"29","월드워Z","7","미국은 월드워z를 만들고 한국은 부산행을 만든다. 선진국과 중진국의 차시"
"30","정직한 후보","2","예고편이 다였다...."
"31","바이올렛 에버가든 - 영원과 자동 수기 인형 -","10","하아....역시는 역신가 봅니다 오져버리는 미친 작화에 성우진들.... 진짜 미쳤어요!!!!(By 바이올렛 에버가든이 최애인 사람)참고로 화재에도 불구하고 이렇게 멋진 극장판 만들어주신 쿄애니 관계자 분들 감사드립니다...그리고 삼가 고인의 명복을 빕니다..."
"32","독전","8","아 긴장감 리얼 쩔게 만드네~ 이렇게 한순간도 긴장감있고 의문의 이선생 때문에 영화보는 내내 쫄깃했고 재밌음."
