"","tech_name","info_count"
"1","Web","1078"
"2","App","454"
"3","안드로이드","447"
"4","소프트웨어","402"
"5","Oracle","396"
"6","MySQL","395"
"7","Linux","391"
"8","솔루션","370"
"9","Spring","353"
"10","JSP","346"
"11","백엔드","304"
"12","서버","292"
"13","iOS","285"
"14","SpringFramework","237"
"15","웹에이전시","192"
"16","PHP","144"
"17","SpringBoot","133"
"18","C","123"
"19","Windows","116"
"20","NET","114"
"21","MariaDB","100"
"22","JavaScript","98"
"23","ms sql","97"
"24","NoSQL","95"
"25","MyBatis","84"
"26","Ajax","83"
"27","인공지능","82"
"28","Unix","80"
"29","보안","70"
"30","Python","69"
