"","newstitle","newspaper"
"1","광주시, 평생교육강사 아동 성폭력 예방 강화","광주시가 오는 4월부터 평생교육 강사에 대해 아동학대 및 성폭력 예방 강화에 나선다. 시는 아동을 대상으로 하는 평생교육 강사는 아동학대 및 성폭력 예방교육을 연..."
"2","경남교통문화연수원, 어린이 교통안전 교육 100만명 돌파","경남교통문화연수원이 경남도내 어린이 교통안전 교육의 전도사 역할을 톡톡히 하고 있어 눈길을 끌고 있다. 일명 ‘민식이법’의 시행으로 어린이 교통안전에 대한 관심이..."
"3","소방청, 노인·장애인·외국인 대상 소방교육 프로그램 개발","권수현 기자 = 소방청은 노인이나 장애인, 외국인 등 재난 취약계층을 위한 소방안전 교육 프로그램 개발에 올해 2억7천만원을 투입한다고 25일 밝혔다. 이 사업은 국민제안..."
"4","전남교육청, 에듀테크 교육서비스 시스템 구축","마이크로소프트(MS) ‘팀즈’를 보다 쉽게 활용해 학습할 수 있는 ‘전남 에듀테크 교육서비스’ 시스템을 구축했다. 코로나19 감염 확산으로 휴업이 장기화함에 따라 초래..."
"5","경기도교육청, 비대면 원격교육 선도학교 운영. 학습 공백 채비","[경기중앙신문]<U+25E6> `우리집 온라인클래스`학습관리 체계화로 원격교육 지원 계획<U+25E6> 원격교육 선도학교 초등 148교, 중 112교, 고등 107교, 총 367교 지정·운영<U+25E6> 교사들의 원격..."
"6","장흥군, 체육인 교육센터 건립 추진 ‘급물살’","(장흥=안성수 기자) 장흥군(정종순 군수)은 24일 대한체육회 체육인 교육센터 건립추진을 위해 대한체육회 건립TF 관계자들이 현장 방문에 나섰다고 밝혔다.대한체육회..."
"7","전남교육청, 에듀테크 교육서비스 시스템 구축","마이크로소프트(MS) ‘팀즈’를 보다 쉽게 활용해 학습할 수 있는 ‘전남 에듀테크 교육서비스’ 시스템을 구축했다. 코로나19 감염 확산으로 휴업이 장기화함에 따라 초래..."
"8","‘어디서든 문화예술교육’ 콘텐츠 기획 공모 총상금 2억원","‘어디서든 문화예술교육’포스터/출처=문체부 [아시아아츠 박정배 기자] 문화체육관광부는 한국문화예술교육진흥원과 함께 코로나19로 위축된 예술가들의 활동 영역을..."
"9","광주시, 평생교육강사 아동 성폭력 예방 강화","[경기 남부 위클리오늘=김근동 기자] 광주시가 오는 4월부터 평생교육 강사에 대해 아동학대 및 성폭력 예방 강화에 나선다.시는 아동을 대상으로 하는 평생교육 강사는..."
"10","북부교육지원청, ‘어서와, 북부 초등 온라인 교실이야~♡’","서울특별시북부교육지원청(교육장 조호규)은 코로나19로 인한 개학연기(3차)로 어려운 상황에서 <어서와, 북부 초등 온라인교실이야~>을 개설하여 학생들의 교육공백을..."
