"","newstitle","newspaper"
"1","2020 서울형혁신교육지구 청소년 활동사례 공모","14세~19세)이면 누구나 가능하다. ‘청소년 멘토 활동사례’ 부문은 서울형혁신교육지구 청소년 활동을 지도하거나 지원하는 교사, 청소년지도사, 청소년단체 지도자..."
"2","장흥군, 체육인 교육센터 건립 추진 '급물살'","장흥군, 체육인 교육센터 건립 추진 '급물살' 전남 장흥군(정종순 군수)은 24일 대한체육회 체육인 교육센터 건립추진을 위해 대한체육회 건립 TF 관계자들이 현장 방문에..."
"3","64년간 시각장애인 교육 힘쓴 임경삼 목사 별세","1956년 우연히 시각장애를 겪는 고아 6명을 돌보면서 본격적으로 시각장애인 재활과 교육을 시작했다. 1958년에는 시각장애인 재활 시설인 재단법인 인천광명원을 설립하고..."
"4","세종시교육청, SW교육 활성화·AI교육 지역 선도학교 선정","세종시교육청은 2020학년도 초·중·고 9개교를 대상으로 소프트웨어(SW)교육 선도학교를 운영한다고 24일 밝혔다. 학교 중심의 SW교육 활성화와 AI교육 초석 마련 등 지역..."
"5","'학교밖 청소년' 학습권 보장할 '서울형 대안교육기관' 20곳 지정","[아시아경제 조인경 기자] 서울시가 비인가 대안교육기관에 다니는 학교밖 청소년들에게도 공교육에 준하는 평등한 학습권을 보장하기 위해 '서울형 대안교육기관' 20..."
"6","칠곡교육지원청, 특수교육학생 가정 대상 '센카 서비스' 운영","칠곡교육지원청(교육장 이숙현)은 현재 가정에서 지내고 있는 지역 내 특수교육대상 학생 가정을 직접 방문해 교재교구 및 생활용품을 전달하는 서비스인 ‘찾아가는 SEN..."
"7","전남도, '식생활·스마트 소비 교육 사업' 공모","건강과 소비자의 합리적 소비 활동 촉진을 위한 ‘생활실천형 식생활·스마트 소비 교육 지원 사업’을 공모한다고 18일 밝혔다. ‘식생활·스마트 소비 교육 지원 사업’은..."
"8","경기교육연구회, ‘교권 확립’ 연구용역 착수","경기도의회 제1교육위원회의 연구단체인 경기교육연구회(위원장 천영미)는 ‘경기교육 교권 확립을 위한 교원들의 권리와 의무에 관한 연구(학생 인권과 상호보완적 측면..."
"9","허지웅 ""한국 사회 인성교육의 대실패"" n번방 사건에 착잡한 심경...","보고 큰 충격을 받았다. 고민이 많다. 괴롭다. 이건 단지 성교육의 문제가 아니라 한국 사회 인성교육의 총체적이고 종합적인, 완전한 대실패다""라며 'n번방 사건'을 언급..."
"10","서울시, 학교 밖 청소년 '서울형 대안교육기관' 20개 첫 지정","[이데일리 김기덕 기자] 서울시가 비인가 대안교육기관에 다니는 학교 밖 청소년들에게 공교육에 준하는 평등한 학습권을 보장해나간다는 목표로 ‘서울형 대안교육기관..."
